magnitude;time
1;17.605476489984287
2;17.607367189458586
1;17.621937952450146
1;17.649594233699503
3;18.66149403157818
13;18.680759533670713
1;18.691049548191113
1;18.694647425520312
1;18.700255504773654
1;18.70901759511392
1;18.709243796179695
1;18.712624008332394
1;18.713012391294384
1;18.714049501841235
1;18.729397030756772
1;18.741296060405414
1;18.742644730910786
2;18.745700579271055
1;18.749994131576123
1;18.760190251314505
1;18.7685084754125
1;18.77929783945546
1;18.780740404742847
1;18.86420433006884
4;19.015682221133993
4;19.01597670931396
1;19.016599829230998
1;19.018793552774543
1;19.020756807307677
1;19.02079948675405
1;19.020884845646794
1;19.020889113591434
3;19.021226281217775
1;19.021746970463518
1;19.021985975363204
1;19.022579219667783
1;19.022805420733555
1;19.02399190934271
1;19.03234854494244
2;19.0325619421743
2;19.03268571256878
1;19.032971664859478
2;19.03322774153771
1;19.033748430783454
1;19.033944756236767
1;19.0359080107699
14;19.037376183725115
1;19.04080761121346
1;19.074784718470582
1;19.09800660524184
1;19.107959452135898
1;19.10883864873117
1;19.109150208689687
1;19.109214227859248
1;19.110101960343794
2;19.1113055207315
1;19.111361004011783
1;19.111497578240176
1;19.114352833202492
2;19.39013461182745
1;19.410479903913203
1;19.410539655138123
1;19.417692730350147
2;19.421094282226033
2;19.421422913963102
1;19.435063265023743
1;19.43764110358464
1;19.443321737896813
1;19.743631394352025
1;19.768782392099318
1;19.80618239095551
1;19.809067521530288
1;19.80954126338502
1;19.838921794267826
1;19.84054788117462
2;19.841094178088184
1;19.841478293105535
1;19.843654944870533
1;19.862775336845395
3;19.86337711703925
1;19.86388500245108
1;19.86526354856891
1;20.11331222294104
1;20.11337197416596
2;20.123516878568694
1;20.1293383550539
1;20.129564556119675
1;20.142829328052237
1;20.149201369395644
14;20.16180887785407
4;20.173810338174007
1;20.186089214895365
1;20.18626846857013
1;20.214031448435417
1;20.238217890694695
1;21.21628569143392
1;21.216738093565468
1;21.21811237173866
1;21.222495550881114
1;21.224527092528444
1;21.225316662286332
1;21.230677200750716
1;21.23273435006587
1;21.234091556460513
2;21.23418545124253
2;21.238568630384982
1;21.24519248046199
1;21.26683095977283
13;21.267360184907847
2;21.267364452852487
1;21.28158524438379
1;21.28315158006566
3;21.30371880527255
1;21.30389379100268
1;21.306373466836916
1;21.315541011917723
1;21.323953130797737
